ACCYMD,PLACE,CARTYPE
114年01月01日 01時30分00秒,屏東縣牡丹鄉縣172線 9公里500.0公尺處附近,自用-小客車(含客、貨兩用)
114年01月01日 01時30分00秒,屏東縣牡丹鄉縣172線 9公里500.0公尺處附近,自用-小客車(含客、貨兩用)
114年01月01日 01時40分00秒,臺南市安平區中華西路二段與永華路二段口,自用-小客車(含客、貨兩用);普通重型-機車
114年01月01日 01時40分00秒,臺南市安平區中華西路二段與永華路二段口,自用-小客車(含客、貨兩用);普通重型-機車
114年01月01日 01時40分03秒,彰化縣秀水鄉三民街口 / 彰化縣秀水鄉民意街口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 01時40分03秒,彰化縣秀水鄉三民街口 / 彰化縣秀水鄉民意街口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 01時56分00秒,新竹市香山區西濱路 美山路,自用-小客車(含客、貨兩用);自用-大貨車
114年01月01日 01時56分00秒,新竹市香山區西濱路 美山路,自用-小客車(含客、貨兩用);自用-大貨車
114年01月01日 01時56分37秒,彰化縣彰化市中山路二段與仁愛路口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 01時56分37秒,彰化縣彰化市中山路二段與仁愛路口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 02時01分51秒,臺南市安南區海佃路一段329號附近,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 02時01分51秒,臺南市安南區海佃路一段329號附近,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 02時02分19秒,屏東縣萬丹鄉竹林路口 / 屏東縣萬丹鄉竹林路口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 02時02分19秒,屏東縣萬丹鄉竹林路口 / 屏東縣萬丹鄉竹林路口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 02時02分19秒,屏東縣萬丹鄉竹林路口 / 屏東縣萬丹鄉竹林路口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 02時10分19秒,南投縣仁愛鄉投83 13公里200.0公尺處,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 02時10分19秒,南投縣仁愛鄉投83 13公里200.0公尺處,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 02時10分19秒,南投縣仁愛鄉投83 13公里200.0公尺處,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 02時20分03秒,南投縣南投市彰南路三段121號前0.0公尺,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 02時20分03秒,南投縣南投市彰南路三段121號前0.0公尺,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 02時20分03秒,南投縣南投市彰南路三段121號前0.0公尺,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 02時25分00秒,彰化縣溪湖鎮國道1號 211公里600.0公尺處北側向內側,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 02時25分00秒,彰化縣溪湖鎮國道1號 211公里600.0公尺處北側向內側,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 02時56分11秒,桃園市中壢區延平路480號附近,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 02時56分11秒,桃園市中壢區延平路480號附近,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 03時00分00秒,苗栗縣苗栗市忠貞路光復路口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 03時00分00秒,苗栗縣苗栗市忠貞路光復路口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 03時07分42秒,新竹縣竹北市光明二街120號前0.0公尺附近,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 03時07分42秒,新竹縣竹北市光明二街120號前0.0公尺附近,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 03時30分00秒,新竹市東區中華路一段105巷,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 03時30分00秒,新竹市東區中華路一段105巷,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 03時37分00秒,桃園市桃園區中正路456號,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 03時37分00秒,桃園市桃園區中正路456號,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 03時50分00秒,南投縣仁愛鄉台14甲線 31公里200.0公尺處,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 03時50分00秒,南投縣仁愛鄉台14甲線 31公里200.0公尺處,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 04時05分22秒,屏東縣東港鎮中正路二段329號,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 04時05分22秒,屏東縣東港鎮中正路二段329號,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 04時15分00秒,宜蘭縣五結鄉五濱路二段35號旁車道,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 04時15分00秒,宜蘭縣五結鄉五濱路二段35號旁車道,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 04時16分11秒,雲林縣虎尾鎮站前東路301號前(雲林高鐵站),自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 04時16分11秒,雲林縣虎尾鎮站前東路301號前(雲林高鐵站),自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 04時31分36秒,臺南市白河區中山路41號附近,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 04時31分36秒,臺南市白河區中山路41號附近,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 04時42分00秒,新竹縣北埔鄉埔心街86號前,自用-小客車(含客、貨兩用);普通重型-機車
114年01月01日 04時42分00秒,新竹縣北埔鄉埔心街86號前,自用-小客車(含客、貨兩用);普通重型-機車
114年01月01日 04時59分00秒,雲林縣土庫鎮中山路76號前,自用-小客車(含客、貨兩用);自用-小貨車;自用-小客車(含客、貨兩用)
114年01月01日 04時59分00秒,雲林縣土庫鎮中山路76號前,自用-小客車(含客、貨兩用);自用-小貨車;自用-小客車(含客、貨兩用)
114年01月01日 04時59分00秒,雲林縣土庫鎮中山路76號前,自用-小客車(含客、貨兩用);自用-小貨車;自用-小客車(含客、貨兩用)
114年01月01日 05時07分00秒,南投縣仁愛鄉台14甲線 29公里300.0公尺處口向中外,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
