ACCYMD,PLACE,CARTYPE
114年01月01日 15時30分00秒,臺南市新營區三仙里三民路117號前0.0公尺,自用-小客車(含客、貨兩用);普通重型-機車
114年01月01日 15時30分00秒,臺南市新營區三仙里三民路117號前0.0公尺,自用-小客車(含客、貨兩用);普通重型-機車
114年01月01日 15時30分45秒,新竹縣湖口鄉中正路一段115號,自用-小客車(含客、貨兩用);普通重型-機車
114年01月01日 15時30分45秒,新竹縣湖口鄉中正路一段115號,自用-小客車(含客、貨兩用);普通重型-機車
114年01月01日 15時31分00秒,雲林縣斗南鎮雲林路三段與成功路口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 15時31分00秒,雲林縣斗南鎮雲林路三段與成功路口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 15時36分00秒,彰化縣二林鎮斗苑路四段505號前,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 15時36分00秒,彰化縣二林鎮斗苑路四段505號前,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 15時37分00秒,臺南市佳里區中山路與和平街口,自用-小客車(含客、貨兩用);普通重型-機車
114年01月01日 15時37分00秒,臺南市佳里區中山路與和平街口,自用-小客車(含客、貨兩用);普通重型-機車
114年01月01日 15時40分55秒,南投縣水里鄉水信路一段590號,自用-小客車(含客、貨兩用);租賃車-小客車(含客、貨兩用);租賃車-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 15時40分55秒,南投縣水里鄉水信路一段590號,自用-小客車(含客、貨兩用);租賃車-小客車(含客、貨兩用);租賃車-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 15時40分55秒,南投縣水里鄉水信路一段590號,自用-小客車(含客、貨兩用);租賃車-小客車(含客、貨兩用);租賃車-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 15時40分55秒,南投縣水里鄉水信路一段590號,自用-小客車(含客、貨兩用);租賃車-小客車(含客、貨兩用);租賃車-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 15時41分26秒,屏東縣萬巒鄉萬金村萬興路7-11超商前,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 15時41分26秒,屏東縣萬巒鄉萬金村萬興路7-11超商前,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 15時43分00秒,桃園市楊梅區自強街(路燈編號0400002)旁,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 15時43分00秒,桃園市楊梅區自強街(路燈編號0400002)旁,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 15時45分00秒,臺南市東區北門路1段78號,租賃車-小客車(含客、貨兩用);普通重型-機車;普通重型-機車
114年01月01日 15時45分00秒,臺南市東區北門路1段78號,租賃車-小客車(含客、貨兩用);普通重型-機車;普通重型-機車
114年01月01日 15時45分00秒,臺南市東區北門路1段78號,租賃車-小客車(含客、貨兩用);普通重型-機車;普通重型-機車
114年01月01日 15時47分54秒,基隆市中正區台2己線 北側向交流道,營業用-半聯結車;營業用-半聯結車
114年01月01日 15時47分54秒,基隆市中正區台2己線 北側向交流道,營業用-半聯結車;營業用-半聯結車
114年01月01日 15時47分54秒,基隆市中正區台2己線 北側向交流道,營業用-半聯結車;營業用-半聯結車
114年01月01日 15時48分59秒,新竹縣新豐鄉台15線北上67公里處,自用-小客車(含客、貨兩用)
114年01月01日 15時48分59秒,新竹縣新豐鄉台15線北上67公里處,自用-小客車(含客、貨兩用)
114年01月01日 15時49分00秒,桃園市桃園區建新街口 / 桃園市桃園區介新街口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 15時49分00秒,桃園市桃園區建新街口 / 桃園市桃園區介新街口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 15時50分56秒,臺南市北區北園街124巷12弄19號西側,自用-小貨車;自用-小客車(含客、貨兩用)
114年01月01日 15時50分56秒,臺南市北區北園街124巷12弄19號西側,自用-小貨車;自用-小客車(含客、貨兩用)
114年01月01日 15時51分19秒,臺南市七股區七股29號,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 15時51分19秒,臺南市七股區七股29號,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 15時53分00秒,臺南市新化區中正路777巷1號,普通重型-機車;普通重型-機車
114年01月01日 15時53分00秒,臺南市新化區中正路777巷1號,普通重型-機車;普通重型-機車
114年01月01日 15時56分07秒,桃園市蘆竹區南崁路一段50號,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 15時56分07秒,桃園市蘆竹區南崁路一段50號,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 15時57分00秒,新竹市東區慈雲路與龍山西路口旁,計程車-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 15時57分00秒,新竹市東區慈雲路與龍山西路口旁,計程車-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 15時59分00秒,彰化縣秀水鄉金興村番花路171號前,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 15時59分00秒,彰化縣秀水鄉金興村番花路171號前,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時00分00秒,桃園市平鎮區宋屋里延平路3段口 / 桃園市平鎮區宋屋里快速路3段口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時00分00秒,桃園市平鎮區宋屋里延平路3段口 / 桃園市平鎮區宋屋里快速路3段口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時05分00秒,桃園市蘆竹區中正路362號前0.0公尺,自用-小客車(含客、貨兩用);租賃車-小客車(含客、貨兩用)
114年01月01日 16時05分00秒,桃園市蘆竹區中正路362號前0.0公尺,自用-小客車(含客、貨兩用);租賃車-小客車(含客、貨兩用)
114年01月01日 16時10分00秒,新北市三重區國道1號 28公里600.0公尺處北側向中外,營業用-半聯結車;自用-小客車(含客、貨兩用)
114年01月01日 16時10分00秒,新北市三重區國道1號 28公里600.0公尺處北側向中外,營業用-半聯結車;自用-小客車(含客、貨兩用)
114年01月01日 16時12分00秒,桃園市大溪區瑞安路二段附近 / 桃園市大溪區內柵路一段附近,自用-小客車(含客、貨兩用);普通重型-機車
114年01月01日 16時12分00秒,桃園市大溪區瑞安路二段附近 / 桃園市大溪區內柵路一段附近,自用-小客車(含客、貨兩用);普通重型-機車
114年01月01日 16時13分00秒,彰化縣伸港鄉台61線側車道與濱二路口往北100公尺處,營業用-曳引車;自用-大貨車
114年01月01日 16時13分00秒,彰化縣伸港鄉台61線側車道與濱二路口往北100公尺處,營業用-曳引車;自用-大貨車
114年01月01日 16時15分00秒,屏東縣屏東市和平路口 / 屏東縣屏東市昆明街口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時15分00秒,屏東縣屏東市和平路口 / 屏東縣屏東市昆明街口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時15分00秒,宜蘭縣蘇澳鎮國道5號 54公里南側向服務區,租賃車-小客車(含客、貨兩用)
114年01月01日 16時15分00秒,宜蘭縣蘇澳鎮國道5號 54公里南側向服務區,租賃車-小客車(含客、貨兩用)
114年01月01日 16時19分43秒,新北市土城區國道3號 40.2公里北側向外側,自用-小客車(含客、貨兩用);營業用-半聯結車
114年01月01日 16時19分43秒,新北市土城區國道3號 40.2公里北側向外側,自用-小客車(含客、貨兩用);營業用-半聯結車
114年01月01日 16時25分00秒,桃園市平鎮區快速路一段226巷2號前0.0公尺,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時25分00秒,桃園市平鎮區快速路一段226巷2號前0.0公尺,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時27分29秒,桃園市平鎮區台66線 19.1公里西側,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時27分29秒,桃園市平鎮區台66線 19.1公里西側,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時36分00秒,桃園市八德區榮興路口 / 桃園市八德區榮興路口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時36分00秒,桃園市八德區榮興路口 / 桃園市八德區榮興路口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時38分00秒,屏東縣屏東市信義路東側 / 屏東縣屏東市青島街,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時38分00秒,屏東縣屏東市信義路東側 / 屏東縣屏東市青島街,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時39分00秒,臺南市中西區中華西路2段76號,自用-小客車(含客、貨兩用);普通重型-機車
114年01月01日 16時39分00秒,臺南市中西區中華西路2段76號,自用-小客車(含客、貨兩用);普通重型-機車
114年01月01日 16時40分00秒,彰化縣大城鄉台61線 200公里600.0公尺處附近向外側,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時40分00秒,彰化縣大城鄉台61線 200公里600.0公尺處附近向外側,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時40分00秒,桃園市中壢區中園路28號,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時40分00秒,桃園市中壢區中園路28號,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時40分00秒,桃園市中壢區中園路28號,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時40分00秒,雲林縣西螺鎮國道1號 229公里600.0公尺處南側向服務區,自用-小客車(含客、貨兩用);租賃車-小客車(含客、貨兩用)
114年01月01日 16時40分00秒,雲林縣西螺鎮國道1號 229公里600.0公尺處南側向服務區,自用-小客車(含客、貨兩用);租賃車-小客車(含客、貨兩用)
114年01月01日 16時41分00秒,臺南市永康區中山南路105之2號,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時41分00秒,臺南市永康區中山南路105之2號,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時45分40秒,彰化縣員林市光復街4號前,普通重型-機車;普通重型-機車
114年01月01日 16時45分40秒,彰化縣員林市光復街4號前,普通重型-機車;普通重型-機車
114年01月01日 16時46分08秒,苗栗縣三義鄉廣盛村廣盛133號外道路,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時46分08秒,苗栗縣三義鄉廣盛村廣盛133號外道路,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時48分24秒,新竹縣竹北市三民路559號,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 16時48分24秒,新竹縣竹北市三民路559號,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 16時49分00秒,桃園市平鎮區中豐路附近 / 桃園市平鎮區台66線附近,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時49分00秒,桃園市平鎮區中豐路附近 / 桃園市平鎮區台66線附近,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時50分00秒,臺南市永康區中正路15巷17號,普通重型-機車;行人-人;乘客-人
114年01月01日 16時50分00秒,臺南市永康區中正路15巷17號,普通重型-機車;行人-人;乘客-人
114年01月01日 16時50分00秒,臺南市永康區中正路15巷17號,普通重型-機車;行人-人;乘客-人
114年01月01日 16時50分15秒,宜蘭縣礁溪鄉礁溪路六段84巷旁隧道口前,自用-小客車(含客、貨兩用);租賃車-小客車(含客、貨兩用)
114年01月01日 16時50分15秒,宜蘭縣礁溪鄉礁溪路六段84巷旁隧道口前,自用-小客車(含客、貨兩用);租賃車-小客車(含客、貨兩用)
114年01月01日 16時51分05秒,屏東縣獅子鄉台9線 438公里南側,遊覽車-大客車;自用-小客車(含客、貨兩用)
114年01月01日 16時51分05秒,屏東縣獅子鄉台9線 438公里南側,遊覽車-大客車;自用-小客車(含客、貨兩用)
114年01月01日 16時52分00秒,桃園市龜山區萬壽路一段1900號前0.0公尺,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時52分00秒,桃園市龜山區萬壽路一段1900號前0.0公尺,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時53分47秒,宜蘭縣礁溪鄉191縣道P66柱前南下內側車道,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時53分47秒,宜蘭縣礁溪鄉191縣道P66柱前南下內側車道,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時54分22秒,嘉義縣民雄鄉西安村民溪路49巷28號,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時54分22秒,嘉義縣民雄鄉西安村民溪路49巷28號,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時57分36秒,宜蘭縣礁溪鄉191縣道與興農路291巷口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 16時57分36秒,宜蘭縣礁溪鄉191縣道與興農路291巷口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時00分00秒,屏東縣枋山鄉加祿41號前,自用-小客車(含客、貨兩用);自用-小貨車
114年01月01日 17時00分00秒,屏東縣枋山鄉加祿41號前,自用-小客車(含客、貨兩用);自用-小貨車
114年01月01日 17時02分00秒,屏東縣內埔鄉學人路623號,自用-小客車(含客、貨兩用);大型重型1(550C.C.以上)-機車
114年01月01日 17時02分00秒,屏東縣內埔鄉學人路623號,自用-小客車(含客、貨兩用);大型重型1(550C.C.以上)-機車
114年01月01日 17時03分00秒,宜蘭縣羅東鎮維揚路178號附近,自用-小貨車;自用-小客車(含客、貨兩用)
114年01月01日 17時03分00秒,宜蘭縣羅東鎮維揚路178號附近,自用-小貨車;自用-小客車(含客、貨兩用)
114年01月01日 17時03分51秒,新北市林口區國道1號 35公里600.0公尺處北側向交流道,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時03分51秒,新北市林口區國道1號 35公里600.0公尺處北側向交流道,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時05分00秒,桃園市桃園區南通路66號,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 17時05分00秒,桃園市桃園區南通路66號,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 17時06分00秒,臺南市中西區民權路四段口 / 臺南市中西區和緯路五段口,計程車-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時06分00秒,臺南市中西區民權路四段口 / 臺南市中西區和緯路五段口,計程車-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時07分11秒,桃園市桃園區孝二街16號附近,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時07分11秒,桃園市桃園區孝二街16號附近,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時12分11秒,苗栗縣頭份市自強路二段與永貞路一段口,自用-小客車(含客、貨兩用);租賃車-小客車(含客、貨兩用)
114年01月01日 17時12分11秒,苗栗縣頭份市自強路二段與永貞路一段口,自用-小客車(含客、貨兩用);租賃車-小客車(含客、貨兩用)
114年01月01日 17時13分00秒,彰化縣二林鎮新生路188號,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時13分00秒,彰化縣二林鎮新生路188號,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時14分00秒,屏東縣屏東市復興路口 / 屏東縣屏東市光復路,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時14分00秒,屏東縣屏東市復興路口 / 屏東縣屏東市光復路,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時16分00秒,新竹市東區經國路一段409巷,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時16分00秒,新竹市東區經國路一段409巷,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時20分00秒,屏東縣新園鄉媽祖路前0.0公尺,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時20分00秒,屏東縣新園鄉媽祖路前0.0公尺,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時20分50秒,南投縣集集鎮台16線6K處,普通重型-機車
114年01月01日 17時20分50秒,南投縣集集鎮台16線6K處,普通重型-機車
114年01月01日 17時21分00秒,臺南市善化區中興路138號,警備車-特種車;自用-小客車(含客、貨兩用)
114年01月01日 17時21分00秒,臺南市善化區中興路138號,警備車-特種車;自用-小客車(含客、貨兩用)
114年01月01日 17時22分00秒,臺東縣臺東市臨海路與仁義南路口,自用-小貨車;普通重型-機車
114年01月01日 17時22分00秒,臺東縣臺東市臨海路與仁義南路口,自用-小貨車;普通重型-機車
114年01月01日 17時22分38秒,宜蘭縣羅東鎮站東路278號前0.0公尺,租賃車-小客車(含客、貨兩用)
114年01月01日 17時22分38秒,宜蘭縣羅東鎮站東路278號前0.0公尺,租賃車-小客車(含客、貨兩用)
114年01月01日 17時25分00秒,桃園市蘆竹區山林路一段口 / 桃園市蘆竹區山腳街口,自用-小客車(含客、貨兩用);普通重型-機車
114年01月01日 17時25分00秒,桃園市蘆竹區山林路一段口 / 桃園市蘆竹區山腳街口,自用-小客車(含客、貨兩用);普通重型-機車
114年01月01日 17時25分00秒,桃園市龜山區文化一路口 / 桃園市龜山區振興路,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時25分00秒,桃園市龜山區文化一路口 / 桃園市龜山區振興路,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時25分00秒,新北市泰山區國道1號 34公里500.0公尺處南側向中線,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用);租賃車-小客車(含客、貨兩用)
114年01月01日 17時25分00秒,新北市泰山區國道1號 34公里500.0公尺處南側向中線,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用);租賃車-小客車(含客、貨兩用)
114年01月01日 17時25分00秒,新北市泰山區國道1號 34公里500.0公尺處南側向中線,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用);租賃車-小客車(含客、貨兩用)
114年01月01日 17時27分00秒,臺南市永康區中正北路347號附近,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時27分00秒,臺南市永康區中正北路347號附近,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時30分29秒,桃園市中壢區桃圳路憶聲電子旁,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時30分29秒,桃園市中壢區桃圳路憶聲電子旁,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時33分12秒,南投縣草屯鎮草屯鎮碧興路一段89巷口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時33分12秒,南投縣草屯鎮草屯鎮碧興路一段89巷口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時34分00秒,臺南市歸仁區中山路二段130號,普通重型-機車;計程車-小客車(含客、貨兩用)
114年01月01日 17時34分00秒,臺南市歸仁區中山路二段130號,普通重型-機車;計程車-小客車(含客、貨兩用)
114年01月01日 17時36分00秒,新竹縣竹北市文興路一段350號,計程車-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時36分00秒,新竹縣竹北市文興路一段350號,計程車-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時36分00秒,南投縣水里鄉南光村南光街2號前0.0公尺,自用-小貨車;自用-小客車(含客、貨兩用)
114年01月01日 17時36分00秒,南投縣水里鄉南光村南光街2號前0.0公尺,自用-小貨車;自用-小客車(含客、貨兩用)
114年01月01日 17時38分00秒,桃園市大園區中山南路二段56巷22號前0.0公尺,自用-小客車(含客、貨兩用);自用-小貨車
114年01月01日 17時38分00秒,桃園市大園區中山南路二段56巷22號前0.0公尺,自用-小客車(含客、貨兩用);自用-小貨車
114年01月01日 17時40分13秒,臺南市永康區文化路261巷2號前0.0公尺,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 17時40分13秒,臺南市永康區文化路261巷2號前0.0公尺,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 17時42分13秒,宜蘭縣頭城鎮濱海路一段170號,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用);自用-曳引車
114年01月01日 17時42分13秒,宜蘭縣頭城鎮濱海路一段170號,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用);自用-曳引車
114年01月01日 17時42分13秒,宜蘭縣頭城鎮濱海路一段170號,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用);自用-曳引車
114年01月01日 17時45分14秒,雲林縣斗六市育英北街口 / 雲林縣斗六市明德北路口,自用-小客車(含客、貨兩用)
114年01月01日 17時45分14秒,雲林縣斗六市育英北街口 / 雲林縣斗六市明德北路口,自用-小客車(含客、貨兩用)
114年01月01日 17時45分47秒,臺南市後壁區長安里市道172線口 / 臺南市後壁區長安里區道南81線口,自用-小客車(含客、貨兩用)
114年01月01日 17時46分00秒,金門縣金湖鎮瓊徑路與經武路口,微型電動二輪車-慢車;自用-小客車(含客、貨兩用)
114年01月01日 17時46分00秒,金門縣金湖鎮瓊徑路與經武路口,微型電動二輪車-慢車;自用-小客車(含客、貨兩用)
114年01月01日 17時48分00秒,桃園市楊梅區水美里梅高路桃園市路燈0407748號前(Q114010008；楊梅所),自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時48分00秒,桃園市楊梅區水美里梅高路桃園市路燈0407748號前(Q114010008；楊梅所),自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時49分00秒,新竹市東區金城一路16號前,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 17時49分00秒,新竹市東區金城一路16號前,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 17時50分00秒,彰化縣溪湖鎮東興路31號對面,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 17時50分00秒,彰化縣溪湖鎮東興路31號對面,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 17時50分02秒,宜蘭縣宜蘭市環市東路2段708號前10.0公尺附近,租賃車-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時50分02秒,宜蘭縣宜蘭市環市東路2段708號前10.0公尺附近,租賃車-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時50分53秒,新北市中和區國道3號 36公里南側向中內,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時50分53秒,新北市中和區國道3號 36公里南側向中內,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時51分00秒,彰化縣北斗鎮大道里中山路2段口 / 彰化縣北斗鎮復興路,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時51分00秒,彰化縣北斗鎮大道里中山路2段口 / 彰化縣北斗鎮復興路,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時51分39秒,桃園市中壢區南園二路390巷口,自用-小客車(含客、貨兩用);普通重型-機車
114年01月01日 17時51分39秒,桃園市中壢區南園二路390巷口,自用-小客車(含客、貨兩用);普通重型-機車
114年01月01日 17時52分00秒,桃園市楊梅區國道1號 68公里100.0公尺處北側向高架外側車道,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時52分00秒,桃園市楊梅區國道1號 68公里100.0公尺處北側向高架外側車道,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時53分00秒,桃園市八德區義勇街68號前0.0公尺,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時53分00秒,桃園市八德區義勇街68號前0.0公尺,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時53分00秒,臺南市永康區正強街290號,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 17時53分00秒,臺南市永康區正強街290號,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 17時53分00秒,臺南市永康區正強街290號,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 17時53分00秒,臺南市安定區國道1號 310公里900.0公尺處南側向外側,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時53分00秒,臺南市安定區國道1號 310公里900.0公尺處南側向外側,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時53分00秒,臺南市安定區國道1號 310公里900.0公尺處南側向外側,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時53分42秒,宜蘭縣礁溪鄉淇武蘭路與興農路路口,租賃車-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時53分42秒,宜蘭縣礁溪鄉淇武蘭路與興農路路口,租賃車-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 17時58分58秒,桃園市中壢區民族路五段298號,租賃車-小客車(含客、貨兩用)
114年01月01日 17時58分58秒,桃園市中壢區民族路五段298號,租賃車-小客車(含客、貨兩用)
114年01月01日 17時59分52秒,桃園市八德區高城八街口 / 桃園市八德區高城八街,自用-小客車(含客、貨兩用);自用-小貨車
114年01月01日 17時59分52秒,桃園市八德區高城八街口 / 桃園市八德區高城八街,自用-小客車(含客、貨兩用);自用-小貨車
114年01月01日 18時00分07秒,南投縣竹山鎮紫南宮停車場,自用-小客車(含客、貨兩用);普通重型-機車
114年01月01日 18時00分07秒,南投縣竹山鎮紫南宮停車場,自用-小客車(含客、貨兩用);普通重型-機車
114年01月01日 18時03分40秒,臺南市佳里區新生路與光復路口,普通重型-機車;普通重型-機車
114年01月01日 18時03分40秒,臺南市佳里區新生路與光復路口,普通重型-機車;普通重型-機車
114年01月01日 18時03分53秒,花蓮縣花蓮市和平路416號前0.0公尺,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 18時03分53秒,花蓮縣花蓮市和平路416號前0.0公尺,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 18時08分00秒,新竹市東區明湖路1008巷口,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 18時08分00秒,新竹市東區明湖路1008巷口,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 18時08分00秒,臺中市霧峰區國道6號 3公里900.0公尺處西側向外側,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 18時08分00秒,臺中市霧峰區國道6號 3公里900.0公尺處西側向外側,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 18時10分00秒,南投縣竹山鎮大明路與枋坪巷口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 18時10分00秒,南投縣竹山鎮大明路與枋坪巷口,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 18時12分29秒,臺南市新化區武安里中山路381號附近,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 18時12分29秒,臺南市新化區武安里中山路381號附近,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
